Country,Company Name,Website,Email,,Main Product
United States of America,"Aloris Tool Technology Co., Inc.",,,,
United States of America,AML,https://www.amlube.com,amlube@amlube.com,,"AML is an innovative, customer-driven manufacturer of AMLUBE metalforming lubricants, metalworking fluids, and protective coatings. We focus on environmentally responsible solutions that support performance, efficiency, and long-term reliability acro"
United States of America,AMSOIL Industrial,https://www.amsoilindustrial.com,,,"AMSOIL has more than five decades of proven performance engineering specialized lubricants designed to solve problems, improve productivity and maximize equipment life. Our Certified Lubrication Specialists leverage their industry and lubricant exper"
Czech Republic,"ANAJ Czech, a.s.",https://www.anaj.cz,anaj@anaj.cz,,"ANAJ Czech, a.s. (Ltd.) is currently one of the leading Czech companies focusing on manufacturing and sharpening of special tools for cutting operations in mechanical engineering."
United States of America,Armor Protective Packaging,https://www.armorvci.com,info@armorvci.com,,"Armor Protective Packaging provides clean, safe, easy and effective corrosion management products designed to Take the Work Out of Your Workday. ARMOR combines packaging materials (e.g., paper/poly film) with rust-preventing vapor corrosion inhibitor"
United States of America,ARNO-Werkzeuge USA LLC,https://arnousa.com/,,,Outstanding Solutions for Precision Turned Components.
United States of America,ASUENE/Nzero,https://nzero.com/,,,"Asuene is a climate-tech startup with the mission of \""To make a better world for next generations\"". Asuene provides the following services: Asuene, a carbon accounting platform ; Asuene ESG, a cloud service for ESG evaluation of supply chain procur"
Kearney NE 68847,Badass Workbench,https://www.badassworkbench.com,,,"Badass Workbench is a family owned company that is based in Kearney Nebraska. We manufacture the heaviest duty workbenches, welding tables, and cabinets on the market today!"
United States of America,"Beckett Packaging, a Division of MOCAP",https://www.beckettpackaging.com,,,"Beckett Packaging is a manufacturer of specialized protective plastic packaging & containers for applications including cutting tools, DIY, technical and consumer/retail. Our ever-expanding line of packaging solutions currently include round, square "
China,"Beijing Worldia Diamond Tools Co.,Ltd.",https://www.worldia-tools.com,info@worldia-tools.com,,"Worldia has become one of the leading, highly-recognized enterprises beyond China by focusing on technology, innovation, inhouse manufacturing process excellence and by meeting highest quality standards of global customers, continuously reviewing and"
United States of America,Belotti America Inc,https://www.belottiamerica.com,,,
Waluj,Birla Precision Technologies Limited,https://www.birlaprecision.com,,,"Birla Precision Technologies Ltd. provides industrial tooling solutions and was established in 1937 as one of India's first cutting tool manufacturers. Today, we manufacture a wide range of high-precision tools including High-Speed Steel Cutting Tool"
United States of America,BISON USA Corp.,https://www.bison-america.com,info@bison-america.com,,"BISON-BIAL, founded in 1948, is the largest manufacturer in Poland of technological tooling for manufacturing and has been a world leader in the machine tool accessory industry for decades. Bison produces a wide range of machine tool accessories used"
United States of America,Blaser Swisslube Inc.,https://blaser.com/,,,"Do you consider coolant to be a necessary evil? Productivity, economic efficiency and machining quality are all factors that critically depend on the choice and the quality of your metalworking fluid. With our profound know-how and experience, custom"
Roselle IL 60172,"Botek America, Inc.",https://www.botek.de/en/botek-america,,,"Your partner for precision and innovation botek is a leading global specialist for cutting tools based in Riederich, Germany. For over 50 years, we have specialized in the development and production of drilling tools, deep hole drilling tools, millin"
United States of America,C.M.T (USA) INDUSTRIAL INC,http://cmttool.com/,dm-yangzhou@300.cn,,
United States of America,Canela Corporation,https://www.canelacorp.com,,,"Focusing on turning, milling, and made-to-order cutting tools, Canela Corporation is dedicated to distributing the Canela Group's finest precision steel and carbide cutting tools available. As part of an engineering-focused company, Canela Corporatio"
United States of America,Carbinite Metal Coatings,https://www.carbinite.com,,,"Carbinite is a textured coating primarily used to increase friction and improve the performance of workholding. Carbinite can be applied to a wide variety of industrial applications and is metallurgically bonded to the base metal, guaranteed to not c"
United States of America,"Carmex Precision Tools, LLC",https://www.carmexusa.com,,,"Carmex Precision Tools specializes in carbide cutting tools for thread turning & thread milling. We offer a full line of tools for Swiss machines, including turning, back turning, grooving & parting."
United States of America,Carr Lane Manufacturing Co.,https://www.carrlane.com,cs@carrlane.com,,"Carr Lane Manufacturing is a world leader for standard tooling components including quick change tooling plates / accessories, toggle clamps, modular fixturing, and drill jig bushings."
United States of America,Castlebar Corporation,https://www.castlebar.us,,,"Castlebar is a certified service-disabled, veteran-owned company focused on supplying the best materials to US tooling manufacturers; and our quality system is ISO 9001:2015 registered. Our focus is on developing the highest quality carbide for your "
United States of America,CECOR,https://www.cecor.com,cecor@cecor.com,,
China,"CELETOGETHER MACHINERY(KUNSHAN)CO.,LTD.",https://www.celetogether.cn,,,
Horseheads NY 14845,"CemeCon, Inc.",https://www.cemecon.com/us/en,ryan.lake@cemecon.com,,"CemeCon is recognized worldwide as the industry leader in HiPIMS and diamond coatings. Providing cutting tool manufacturers with the coating service, coating equipment, process technology, and training needed for success. CemeCon is well-positioned t"
Charlotte NC 28217,CERATIZIT USA,https://www.ceratizit.com,,,"CERATIZIT USA designs and manufactures high quality standard and custom tooling for the metalworking industry. Part of the Plansee Group, CERATIZIT is one of the largest carbide manufacturers in the world. From powder to finished goods, the comprehen"
Taiwan R.O.C.,"CHAIN HEADWAY CO., LTD.",https://www.chainheadway.com,sales.tw@chain-headway.com,,"Chain Headway, established in 1992 in Taiwan, is dedicated to providing cutting-edge metal cutting solutions designed to enhance customer productivity. As a leading manufacturer of CNC cutting tools and inserts, we leverage our extensive know-how to "
United States of America,Champion Tool Storage,https://www.championbuilt.com,info@championbuilt.com,,"Champion Tool Storage manufactures premium USA made industrial storage and workspace solutions for aerospace, manufacturing, automotive, and defense industries. From modular cabinets and workbenches to mobile carts and integrated systems, Champion de"
Irwindale CA 91706,Chem Arrow/MotulTech,https://www.chemarrow.com,sales@chemarrow.com,,"Chem Arrow Corporation specializes in providing innovative solutions to complex metalworking issues by offering a full line of metalworking fluids, lubricants, industrial cleaners, and specialty chemical products."
China,"CHN-TOP SCI & TECH CO.,LTD",https://www.zhongtuo.net,,,"Specialized in diamond tools (PCD, PCBN, MD, ND, CVD) industries, PCD/PCBN tools’ grinders, vacuum brazing machines, laser cutting and engraving machines, laser processing center; Pre-machining services (PCD/PCBN laser cutting, tools brazing, chip br"
United States of America,"CMD International USA, LLC",https://www.cmdrill.com,,,"We offer high-precision and high-performance carbide micro drill bit solutions to serve aerospace, medical, automotive, 3C electronics, and engineering machinery applications. Look forward to B2B and distribution partnership in the North America and "
"About CMT Co.,Ltd.","CMT Co.,Ltd.",https://www.cometmt.co.kr/us/index.htm,,,"We are a manufacturer of cutting tool parts. We maintain stable and long-term partnerships with major companies such as KORLOY, DINE and TaeguTec as well as many other business partners, as we continue to grow together."
United States of America,"Cogsdill Tool Products, Inc.",https://cogsdill.com/,,,"Precision metalworking specialists: Our mission is to be the global leader in the precision tooling industry. Helping customers exceed their expectations through our enviable global experience, industry-defining products and an exceptionally friendly"
United States of America,Controx Inc,https://www.controx.com,,,"NEUHÄUSER Präzisionswerkzeuge GmbH is a sales, development and production-center serving all markets in Europe, Asia, Africa and South-America. CONTROX Inc. in Springfield, Ohio, is a 100% subsidiary of NEUHÄUSER and serves North and Central American"
United States of America,Core Cutter USA,https://www.corecutterusa.com,info@corecutterusa.com,,"Core Cutter, LLC is a family owned and operated high performance carbide cutting tool manufacturer located in Farmingdale, Maine. We manufacture a variety of standard, modified and custom-made solid carbide tooling with fast turnaround from print to "
Germany,CORRFLEXO e. K.,https://www.corrflexo.com,,,"Founded in Solingen, Germany—the world‑renowned “City of Blades”—CORRFLEXO e. K. brings over two decades of expertise as a globally trusted supplier of precision cutting and slitting solutions. We deliver customized end mills, drills, cutting inserts"
China,CORTOOL MANUFACTURING GROUP,https://www.cortool.cn,,,
Mumbai 400093,CP GRAT -EX MFG. CO.,https://deburringtools.com/,cpe@deburringtools.com,,Complete range of Hand Deburring Solutions
United States of America,Cutco Gifting,https://www.cutco.com/products/business-gifts,,,
Arlington Heights IL 60005,Cutting Tool Engineering Magazine,https://www.ctemag.com,,,"Cutting Tool Engineering magazine delivers authoritative, decision-driving insights for manufacturing professionals. Published nine times annually by CTE Publications Inc. in Arlington Heights, Illinois, its premium print edition anchors a growing di"
Canada,CVD Diamond Corporation,https://www.cvddiamond.com,,,"CVD Diamond Corporation offers Diamond Coated tools for the machining of Graphite, Composite Materials, Green Ceramics, Green Carbide, and other Abrasive, Non-Ferrous Materials, using proprietary technology."
Medford OR 97501,Darex LLC,https://www.darex.com,industrialsupport@darex.comsales,,Darex is the leader in designing and manufacturing affordable precision Industrial Drill Sharpeners for 50 years!
United States of America,Daubert Cromwell,https://www.daubertcromwell.com,,,"Daubert Cromwell is a global manufacturer of Volatile Corrosion Inhibitor (VCI) protection for metals. VCI packaging papers, poly films, rust preventive liquids and emitters protect metals from corrosion during all stages of manufacture, storage and "
United States of America,Delton International USA Inc.,,,,"Delton USA is a one-stop supplier, located in Rochester MI, with office and inventory facilities. We are committed to customer satisfaction and offer high quality products based on the manufacturing customers' request. Our sales team can offer you gr"
United States of America,Diametal Inc.,https://www.diametal.com,,,"Diametal is a high-end manufacturer of custom and standard cutting tools, and abrasives/grinding wheels based in Switzerland with US offices. We focus on competitive pricing and realistic lead times. Products include tools for turning, micro fabricat"
United States of America,Dorian Tool International,https://www.doriantool.com,,,"“Tomorrow’s Technology in Today’s Machine Tools”, is Dorian Tool’s vision and guiding principle. By developing new ideas and promoting new technology, Dorian Tool has continuously improved its products, service, technical support, and delivery to cus"
United States of America,Drill Masters - Eldorado Tool Inc.,https://dmetool.com/,,,"DMETool is one of the largest manufacturers of deep hole gun drilling tools, reamers, buttons, mandrels, fixtures, and accessories in the world. Global customers include the automotive, aerospace, medical, firearms, and molding industries. Our focus "
United States of America,Elliott Tool Technologies,https://www.elliott-tool.com,sales@elliott-tool.com,,"Elliott Tool Technologies is a leading supplier for ""Quality specialty tools for an 'I need it yesterday' world."" With 24 hour support, our team is committed to providing exceptional customer service, emphasizing on-time shipping and reliable stock a"
United States of America,Engineered Lubricants,https://www.ENGLUBE.com,,,"Since 1967, St. Louis-based Engineered Lubricants has been an independent manufacturer of lubricants, metalworking fluids, rust preventatives and cleaners. Providing products and services across the globe, EL formulates products specific to its custo"
United States of America,ETP Transmission Inc.,https://etpinc.com/,sales@etpinc.com,,"ETP Transmission AB, after being in business for more than 35 years, has successfully developed products for 3 business or application areas."
Republic of Korea,"EUNSUNG CO., LTD.",https://www.eunsungind.co.kr,,,"Eunsung Co., LTD was established in 1992 to manufacture and distribute the wire rods made of non-ferrous metals and special alloys as EDM WIRE, BRASS WIRE, COPPER WIRE etc.."
United States of America,Euro-Tech Corporation,https://eurotechcorp.com/,,,"Distributor of unique German-engineered tooling & workholding gages and accessories including mechanical and hydraulic expansion arbors and chucks; clamping sleeves; gaging for splines, gears and other toothed profiles. Our products enhance productio"
United States of America,Everede Tool Co.,https://www.everede.net,johndoe@gmail.com,,Everede is a Manufacturer of Indexable Boring Bars and Inserts.
Taiwan R.O.C.,"EVERMORE MACHINE CO., LTD.",https://www.evermore-tools.com,info@evermore-tools.com,,"Established in 1979 specializing in the manufacture of Keyless Drill Chucks, VDI / BMT turning/milling live holders, and in 2002 producing CNC tool holder, Boring tooling, HSK&PSC holders and other precision accessories. Evermore is a trusted supplie"
United States of America,Extramet,https://www.extramet.net,info@extramet.net,,"Extramet Products is an independently owned and operated company created for the sole purpose of its customer’s success. The company stocks the finest European and American carbide materials in rod and shape form. We do cutting, center less and form "
United States of America,ExxonMobil,https://info.lubricants.mobil.ca/ca-en/industrial/hub#fill-with-mobil,,,
Canada,FCS North America Inc.,https://www.fcssystem.com,,,"FCS System is the manufacturer of the original Breyl clamping system, composed of modular elements to adapt to the different shapes and sizes of the workpieces to be machined, allows you to choose the best clamping setup in the virtual CAD/CAM phase "
United States of America,Fixtureworks,https://www.fixtureworks.com,,,Fixtureworks manufactures and supplies a wide assortment of unique industrial products that range from modular fixturing components and workholding devices to standard machine elements.
Taiwan R.O.C.,"Flair Machinery Accessory Co., Ltd.",https://www.flair.com.tw,flairpump@gmail.com,,"Flair factory located in Taichung city of Taiwan. Head company Chang Steel Electronic & Machine Tools Co., Ltd. and Flair Machinery Accessory Co., Ltd. We specialize in development, manufacture and trading of machine components. Our Main products are"
Canada,FlexxCool,https://www.flexxcool.com,chosen-sprite@2x.png,,Filling CNC Coolant manually is a big waste of time. Meet coolant automation; a better way to keep machine sumps full and at the right concentration. Our fully automated coolant solution allows companies to increase production and recover valuable ma
Canada,"Fodbits Precision Technology Co., Ltd.",https://www.fodbitschuck.com,info@fodbits.com,,
United States of America,Fuchs Lubricants Co.,https://www.fuchs.com/us,inquiry@fuchs.com,,
United States of America,Fulterer USA,https://www.fultererusa.com,,,"Fulterer is a world leader in drawer slides technology. Fulterer manufactures high quality progressive action roller and ball bearing slides for a variety of weight ratings. Applications include are: modular storage, food service equipment, office, h"
United States of America,"General Tool, Inc. / EHWA",https://generaltoolindustrial.com/,,,"General Tool is a privately-owned diamond tool manufacturing company headquartered in Irvine, California. Since the company was established in 1984, our goal has been to provide high-quality diamond tools and the best customer service in the industry"
United States of America,"Genevieve Swiss Industries, Inc. (Genswiss/Utilis)",https://www.genswiss.com,,,"Genevieve Swiss Industries, Inc. provides you with unique high-precision tools and accessories that advance small parts manufacturing and Swiss-type Machining. Get products that live up to your expectations, reliable service and proven solutions for "
Puchong Se 47100,GET MANUFACTURING SDN BHD,https://gettools.biz/,bryancktang@me.com,,"Since 2006, we have been at the forefront of manufacturing custom cutting tools tailored to meet the specific needs of our clients. Our expertise lies in producing high-quality carbide and PCD diamond tools, ensuring precision, durability, and except"
United States of America,"Global CNC Industries, Ltd.",https://www.globalcnc.com,sales@globalcnc.com,,"Global CNC is a U.S.-based manufacturer of high-performance CNC toolholding solutions for turning and mill-turn applications. We specialize in static and driven toolholders, Capto/PSC systems, toolholder bushings, VDI toolholders, and driven tool rep"
Santa Catarina 66367,GLOBAL WORKING TOOLS,https://www.gwt.com.mx,info@gwt.com.mx,,"GWT, based in Santa Catarina, Mexico, manufactures and distributes high-performance cutting tools (PCD, carbide, steel) and abrasives. We partner with industries like automotive and aerospace, offering custom solutions and strong technical support to"
United States of America,GO Manufacturing,https://gomfg.com/,,,"Creator of the GO STOP, and also a contract machine shop."
Germany,Goltenbodt technology GmbH,https://www.goeltenbodt.de,info@goeltenbodt.de,,"Depending on requirements, they can be used for multi-spindle automatic lathes, single-spindle automatic lathes, sliding and fixed headstock automatic lathes as well as grinding machines. Innovation, precision and reliability are the supporting pilla"
United States of America,Gorilla Mill,https://gorillamill.com/,,,"Our modern facility has been producing and sharpening cutting tools for the aerospace, automotive, medical and manufacturing industries for well over 40 years for use in the following applications:"
Product Categories,GRIP,https://www.gripkorea.com,gripperfect@gmail.com,,
Taiwan R.O.C.,"GSA Technology Co., Ltd.",https://www.gsaplus.com.tw,gsp@gsaplus.com.tw,,"GSA is a Taiwanese machine tool accessories manufacturer. Products: CNC rotary table, Tilting rotary table, Roller Gear-Cam rotary table, Horizontal machining center table with pallets, Large size horizontal rotary table for CNC machining center. Hyd"
China,"GUANGDONG HUASHENG NANOTECHNOLOGY CO.,LTD.",https://www.hsvacuum.com,,,
China,"GUANGZHOU INNOX TOOLS CO.,LTD.",https://www.innoxtech.com,,,"Innox Tools develops and manufactures innovative HSS and carbide cutting tools. TWISTCUT brand is recognized worldwide for its quality, precision and durability."
United States of America,"Haas Automation, Inc.",https://www.haascnc.com,,,"Haas Automation, Inc., manufactures a full line of CNC machining centers, lathes, and rotary products. All Haas products are built in the company’s 1.1-million-square-foot facility in Southern California, and distributed through a worldwide network o"
United States of America,Hainbuch America Corporation,https://www.hainbuchamerica.com,user@gmail.com,,"HAINBUCH continues to revolutionize the field of precise, adaptable, and quick change collet chucks and workholding. Our business philosophy: A commitment and focus to helping our customers solve their immediate and long-term productivity challenges "
United States of America,"Halder, Inc.",https://www.halderusa.com,sales@halderusa.com,,"We are a leading manufacturer of inch and metric standard parts. This includes spring plungers, quick release pins, handles, knobs, lifting devices, clamps, and fixturing systems."
Peachtree Corners GA 30092,Halocarbon,https://www.halocarbon.com,customerservice@halocarbon.com,,"Halocarbon is a U.S. based specialty fluorochemistry company delivering advanced metalworking fluids (MWF) that make difficult‑to‑machine metals machinable. Our unique non‑flammable MWFs reduce heat, friction, and tool wear—enabling faster machining,"
China,"HANGZHOU ANKA TOOLS CO., LTD.",https://www.ankatools.com,sales@ankatools.com.cn,,"HANGZHOU ANKA TOOL CO.,LTD is a leading professional manufacturer of high quality metal cutting tools, our products include annular cutter, rail cutter, HSS step drills and TCT hole saw. Our strength consists of innovation, high-quality products, sup"
"Korea, Republic of",HANSONG M&T,https://han-song.co.kr/,,,"Hansong, founded in 1999, is Korea’s leading manufacturer of carbide end mills and dental burs. Exporting to over 60 countries, Hansong is recognized for its innovation, quality, and successful localization in cutting tool production."
Turkey,Hatsan silah makina kalip san. ve tic. a.ş,https://hatsancuttingtools.com/,info@hatsancuttingtools.com,,"Hatsan Silah Makina is one of the world’s largest manufacturers of airguns and firearms, recognized for its advanced production capabilities and engineering expertise. Expanding its manufacturing strength, Hatsan now produces its own carbide cutting "
Spain,HELION TOOLS S.L.U.,https://www.helion-tools.com,,,
United States of America,Hermann Schmidt Precision Workholding,https://www.hschmidt.com,hsc@hschmidt.com,,
United States of America,Heule Precision Tools,https://www.heuletool.com,,,"Discover Heule Precision Tools at Booth #431364! Our cutting-edge tools for deburring, chamfering, back spotfacing, counterboring, and countersinking help high-volume manufacturers enhance efficiency, save time, and produce top-quality parts. Visit u"
Benton AR 71915,Hirt-Line Presented by Altitude SI LLC,https://altitudesi.com/,cooling-pipe_250x@2x.png,,Hirt-line high pressure coolant lines
Taiwan R.O.C.,"Hon Jan Cutting Tools Co., Ltd.",https://www.shangintool.com,info@shangintool.com,,"Hon Jan Cutting Tools is an ISO-certified company and we are connected to the global market with the brand \""SHAN GIN TOOLS\"". Our product lines contain boring bars, lathe turning tools, threading, grooving, milling, boring tools, cartridges, and hig"
"Korea, Republic of","HONGIK DIAMOND Co., Ltd",https://www.hongikdiamond.com,,,
Germany,HTT Tiefbohrtechnik GmbH,https://www.htt-europe.de,info@htt-europe.de,,"HTT Tiefbohrtechnik, part of the HTT Global Group, was founded with the goal of efficiently offering high-quality machines and systems. HTT delivers customized deep drilling solutions worldwide for all industries, including automotive, medical, aeros"
United States of America,Hufschmied Machining Systems,https://www.hufschmied.net,info@hufschmied.net,,
United States of America,Huot Manufacturing Co.,https://www.huot.com,contact@huot.com,,"Founded in 1926, Huot Manufacturing produces American made products for storing and organizing cutting tools and tooling typically used for machine tools in a metal cutting shop environment. Products feature portable and stationary organization solut"
United States of America,Huron Machine Products,https://www.huronmachine.com,info@huronmachine.com,,"Largest Manufacturer of Top Jaws in the USA for all Power and Manual Chucks. From Standard Top Jaws, Quick Change Top Jaws to complete Design and Build Top Jaws. The largest selection in the industry. Also supplies Power and Manual Chucks for all Wor"
Fortville IN 46040,HWR Workholding USA Inc.,https://hwr-usa.com/,sales@hwr-usa.com,,"The North American subsidiary to one of Germany’s premier workholding providers, HWR Workholding USA provides manufacturers with innovative workholding systems that achieve high levels of flexibility and security. The company is best known for its ze"
United States of America,Hänel Storage Systems,https://www.hanel.us,info@hanel.us,,"Hänel offers best-in-class automated vertical storage, with the Rotomat Vertical Carousel and Lean-Lift Vertical Lift Module, which help customers: 1) Reclaim up to 80% of floor space; 2) Boost inventory accuracy to over 99%; 3) Pick more parts in le"
United States of America,i Cut Tools Corp.,https://www.xi-tong.com,,,We import high quality metal cutting tools. We provide our professional service to help you find a better tool for your jobs. Cut Fast! Cut Cost! Cut better!
Taiwan R.O.C.,IDI Precision Machinery Ltd.,https://www.iditools.com,info@iditools.com,,"IDI is a professional tool maker in Taiwan. We make tools for graphite, steel, hardened steel milling."
United States of America,IMC Group,https://www.iscarusa.com,,,Iscar is a global supplier of cutting tools for use with CNC machine tools. Our core competency lies with our non-stop engineering R&D effort to continually improve the productivity of the metal removal process. We provide performance solutions that 
United States of America,IMC Group 2,https://www.iscarusa.com,,,"MasteRound is a group of companies under IMC Group including IMCO, Precision Cutting Tools, Supermill, and Morse Cutting Tools. They are leading companies in High Performance solid carbide milling and drilling products with a wide variety of solution"
United States of America,IMCO Carbide Tool Inc.,https://www.imcousa.com,customerservice@imcousa.com,,
Fridley MN 55432,INCERTEC,https://www.incertec.com,,,
United States of America,Indo-MIM Inc.,https://www.indo-mim.com/additive-manufacturing,infohq@indo-mim.com,,"Established in 1997, Indo-MIM has ascended to global eminence as the foremost provider of Metal Injection Molded components across diverse sectors. Pioneering innovation, Indo-MIM embraces Binder-Jet Metal 3D Printing, LPBF and Metal Stereolithograph"
United States of America,"Industrial Magnetics, Inc.",https://www.magnetics.com,imi@magnetics.com,,"Since 1961, IMI has been a leader in providing permanent magnets and electromagnets to customers worldwide. Solutions-based focus and consultative approach to meeting customer needs are at the core of IMI. We take pride in designing, engineering, and"
United States of America,Ingersoll Cutting Tools,https://www.ingersoll-imc.com,,,Ingersoll Cutting Tools has been a leader in the design and manufacture of standard and special indexable metal removal tooling for more than 100 years. Our long history of innovation and experience qualifies us to act as your productivity partner in
Taiwan R.O.C.,INNGRIT INC.,https://www.inngrit.com.tw,sales00@inngrit.com.tw,,
United States of America,Iscar,https://www.iscarmetals.com,,,Iscar is a global supplier of cutting tools for use with CNC machine tools. Our core competency lies with our non-stop engineering R&D effort to continually improve the productivity of the metal removal process. We provide performance solutions that 
Spain,IZAR Cutting Tools,https://www.izartool.com/en,export@izartool.com,,"Tool manufacturer since 1910, IZAR is a leader in Spain and one of the main European references in the cutting tool sector: drills, taps, milling cutters, reamers, countersinks, etc. They use only top quality raw materials: HSS, HSS Co, PMX and carbi"
United States of America,J.W. Done ORBITOOL,https://www.jwdone.com,info@jwdone.com,,Manufacturer of deburring tools for drilled holes and intersections.
United States of America,"J.W. Winco, Inc.",https://www.jwwinco.com,sales@jwwinco.com,,"JW Winco is a leading source for metric and inch standard parts. We offer adjustable levers, cabinet U-handles, hinges and locking mechanisms, handles, handwheels, hand cranks, conveyor components, leveling mounts, hand knobs, spring, ball and indexi"
United States of America,"James Tool Machine & Engineering, Inc.",https://www.jamestool.com,sales@jamestool.com,,"James Tool Machine & Engineering, Inc. is an AS9100, ISO9001, ITAR Registered, and NIST 800-171 cybersecurity compliant precision machining company located in Morganton, NC. Since 1987, James Tool has specialized in Production Precision Machining, No"
United States of America,Jepson Power Inc.,https://www.jepsonpower.com,,,"""Leading Through Innovation … since 1984 this is the guiding principle of Jepson Power - the inventor of Dry-Cutter-Technology - in the ongoing development of innovative and high-quality machines and saw blades for processing metals and composites. W"
